"week","state","state_name","disease","cases","incidence_per_capita","year","population","time","vaccine","year_since_vaccine","vaccine_era"
1,"TX","TEXAS","MEASLES",88,1.06,1952,9.02569611981258,1,0,0,"no"
2,"TX","TEXAS","MEASLES",120,1.44,1952,9.02569611981258,2,0,0,"no"
3,"TX","TEXAS","MEASLES",98,1.18,1952,9.02569611981258,3,0,0,"no"
4,"TX","TEXAS","MEASLES",149,1.79,1952,9.02569611981258,4,0,0,"no"
5,"TX","TEXAS","MEASLES",106,1.27,1952,9.02569611981258,5,0,0,"no"
6,"TX","TEXAS","MEASLES",171,2.06,1952,9.02569611981258,6,0,0,"no"
7,"TX","TEXAS","MEASLES",204,2.45,1952,9.02569611981258,7,0,0,"no"
8,"TX","TEXAS","MEASLES",1619,19.47,1952,9.02569611981258,8,0,0,"no"
10,"TX","TEXAS","MEASLES",381,4.58,1952,9.02569611981258,9,0,0,"no"
11,"TX","TEXAS","MEASLES",1757,21.13,1952,9.02569611981258,10,0,0,"no"
13,"TX","TEXAS","MEASLES",2248,27.04,1952,9.02569611981258,11,0,0,"no"
14,"TX","TEXAS","MEASLES",2651,31.88,1952,9.02569611981258,12,0,0,"no"
15,"TX","TEXAS","MEASLES",1300,15.64,1952,9.02569611981258,13,0,0,"no"
16,"TX","TEXAS","MEASLES",1527,18.37,1952,9.02569611981258,14,0,0,"no"
17,"TX","TEXAS","MEASLES",1588,19.1,1952,9.02569611981258,15,0,0,"no"
19,"TX","TEXAS","MEASLES",1604,19.29,1952,9.02569611981258,16,0,0,"no"
20,"TX","TEXAS","MEASLES",1777,21.37,1952,9.02569611981258,17,0,0,"no"
21,"TX","TEXAS","MEASLES",1102,13.25,1952,9.02569611981258,18,0,0,"no"
22,"TX","TEXAS","MEASLES",885,10.64,1952,9.02569611981258,19,0,0,"no"
24,"TX","TEXAS","MEASLES",616,7.41,1952,9.02569611981258,20,0,0,"no"
25,"TX","TEXAS","MEASLES",437,5.26,1952,9.02569611981258,21,0,0,"no"
26,"TX","TEXAS","MEASLES",539,6.48,1952,9.02569611981258,22,0,0,"no"
27,"TX","TEXAS","MEASLES",172,2.07,1952,9.02569611981258,23,0,0,"no"
28,"TX","TEXAS","MEASLES",262,3.15,1952,9.02569611981258,24,0,0,"no"
29,"TX","TEXAS","MEASLES",196,2.35,1952,9.02569611981258,25,0,0,"no"
30,"TX","TEXAS","MEASLES",142,1.7,1952,9.02569611981258,26,0,0,"no"
31,"TX","TEXAS","MEASLES",138,1.66,1952,9.02569611981258,27,0,0,"no"
32,"TX","TEXAS","MEASLES",92,1.11,1952,9.02569611981258,28,0,0,"no"
33,"TX","TEXAS","MEASLES",96,1.15,1952,9.02569611981258,29,0,0,"no"
34,"TX","TEXAS","MEASLES",74,0.89,1952,9.02569611981258,30,0,0,"no"
35,"TX","TEXAS","MEASLES",61,0.73,1952,9.02569611981258,31,0,0,"no"
36,"TX","TEXAS","MEASLES",72,0.86,1952,9.02569611981258,32,0,0,"no"
37,"TX","TEXAS","MEASLES",53,0.63,1952,9.02569611981258,33,0,0,"no"
38,"TX","TEXAS","MEASLES",68,0.82,1952,9.02569611981258,34,0,0,"no"
39,"TX","TEXAS","MEASLES",41,0.49,1952,9.02569611981258,35,0,0,"no"
40,"TX","TEXAS","MEASLES",56,0.67,1952,9.02569611981258,36,0,0,"no"
41,"TX","TEXAS","MEASLES",31,0.37,1952,9.02569611981258,37,0,0,"no"
42,"TX","TEXAS","MEASLES",81,0.97,1952,9.02569611981258,38,0,0,"no"
43,"TX","TEXAS","MEASLES",43,0.51,1952,9.02569611981258,39,0,0,"no"
44,"TX","TEXAS","MEASLES",47,0.57,1952,9.02569611981258,40,0,0,"no"
45,"TX","TEXAS","MEASLES",76,0.91,1952,9.02569611981258,41,0,0,"no"
46,"TX","TEXAS","MEASLES",121,1.46,1952,9.02569611981258,42,0,0,"no"
47,"TX","TEXAS","MEASLES",91,1.09,1952,9.02569611981258,43,0,0,"no"
48,"TX","TEXAS","MEASLES",101,1.21,1952,9.02569611981258,44,0,0,"no"
49,"TX","TEXAS","MEASLES",87,1.04,1952,9.02569611981258,45,0,0,"no"
50,"TX","TEXAS","MEASLES",176,2.11,1952,9.02569611981258,46,0,0,"no"
51,"TX","TEXAS","MEASLES",83,0.99,1952,9.02569611981258,47,0,0,"no"
52,"TX","TEXAS","MEASLES",133,1.59,1952,9.02569611981258,48,0,0,"no"
1,"TX","TEXAS","MEASLES",27,0.32,1953,9.02833876399315,49,0,0,"no"
2,"TX","TEXAS","MEASLES",353,4.23,1953,9.02833876399315,50,0,0,"no"
3,"TX","TEXAS","MEASLES",755,9.06,1953,9.02833876399315,51,0,0,"no"
4,"TX","TEXAS","MEASLES",846,10.15,1953,9.02833876399315,52,0,0,"no"
5,"TX","TEXAS","MEASLES",955,11.46,1953,9.02833876399315,53,0,0,"no"
6,"TX","TEXAS","MEASLES",1082,12.98,1953,9.02833876399315,54,0,0,"no"
7,"TX","TEXAS","MEASLES",1421,17.05,1953,9.02833876399315,55,0,0,"no"
8,"TX","TEXAS","MEASLES",2198,26.37,1953,9.02833876399315,56,0,0,"no"
9,"TX","TEXAS","MEASLES",2180,26.15,1953,9.02833876399315,57,0,0,"no"
10,"TX","TEXAS","MEASLES",2786,33.42,1953,9.02833876399315,58,0,0,"no"
12,"TX","TEXAS","MEASLES",3569,42.81,1953,9.02833876399315,59,0,0,"no"
13,"TX","TEXAS","MEASLES",4749,56.97,1953,9.02833876399315,60,0,0,"no"
14,"TX","TEXAS","MEASLES",5374,64.47,1953,9.02833876399315,61,0,0,"no"
15,"TX","TEXAS","MEASLES",4262,51.13,1953,9.02833876399315,62,0,0,"no"
16,"TX","TEXAS","MEASLES",5178,62.12,1953,9.02833876399315,63,0,0,"no"
17,"TX","TEXAS","MEASLES",4436,53.21,1953,9.02833876399315,64,0,0,"no"
